"","deg","bet","clo","eig","pr"
"沙壆",2,1112,0.000101553772722657,0,0.00355387411029972
"燕子湖",2,837,9.87947046038332e-05,0,0.00362966283477043
"石井",2,560,9.61630926050582e-05,0,0.00376525928476862
"技术大学",2,281,9.36504963476306e-05,0,0.00400852103088311
"国展南",2,1399.33333333333,0.000221827861579414,2.33073883153198e-05,0.00285167781788845
"莲塘",1,0,0.000208203206329377,3.21378469761079e-05,0.00215868282422453
"盐田路",1,0,0.0666666666666667,0,0.00227841897535162
"文锦",1,0,0.000208203206329377,7.60475720681328e-05,0.0021678227175002
"双拥街",1,0,0.000143287003868749,6.58741338804699e-11,0.00222240861488554
"碧头",1,0,0.000166666666666667,3.58914263155442e-09,0.00195743173656276
"海上田园东",1,0,0.000178189593727726,4.63885587519605e-07,0.00197142328221166
"深理工",1,0,0.000161134386077989,8.2792692645042e-10,0.00215638243333424
"田心",1,0,9.12492015694863e-05,0,0.00222265257998969
"会展城",1,0,0.000187511719482468,1.66709464653237e-06,0.00174168348151784
